Title,Note,URL,Comment
in the Moon,Rooftop bar,https://www.google.com/maps/place/in+the+Moon/data=!4m2!3m1!1s0x600108c026150111:0xdee1b667cfb6495,
Kushikatsu Dokoro Hanagushi,,https://www.google.com/maps/place/Kushikatsu+Dokoro+Hanagushi/data=!4m2!3m1!1s0x600108a5de199d7d:0x15c355c0e93db2d2,
Zauo Fishing Restaurant,Catch your own fish and restaurant will prepare for you,https://www.google.com/maps/place/Zauo+Fishing+Restaurant/data=!4m2!3m1!1s0x6000e71a770a9ca1:0x15a8e5b287d655c1,
Taishogun Shopping Street - Ichijo Yokai Street,Unique street with thrift stores,https://www.google.com/maps/place/Taishogun+Shopping+Street+-+Ichijo+Yokai+Street/data=!4m2!3m1!1s0x600107eb73993a2b:0x26bb79e84a490d6b,
Liquors Hasegawa Main Store,Good selection of whiskeys to try (limit of three),https://www.google.com/maps/place/Liquors+Hasegawa+Main+Store/data=!4m2!3m1!1s0x60188bfcefeae7f1:0x39b324d77940057d,
Taste Restaurant @ Lucky Lou Seafood and Dimsum,,https://www.google.com/maps/place/Taste+Restaurant+@+Lucky+Lou+Seafood+and+Dimsum/data=!4m2!3m1!1s0x886b56684c25cba5:0x22bd257ddf62f44,
Pho 21,Banh beo,https://www.google.com/maps/place/Pho+21/data=!4m2!3m1!1s0x886b4fb5a4277187:0xd304b2df151d928d,
Pho 36,,https://www.google.com/maps/place/Pho+36/data=!4m2!3m1!1s0x886caff9831a3adb:0x7d924ae35c63ea64,
One World Market of Indiana,,https://www.google.com/maps/place/One+World+Market+of+Indiana/data=!4m2!3m1!1s0x886b4d35ee6f95c9:0x34c2113b4a9e0aa1,
Chengdu Memory 蓉城老火锅,,https://www.google.com/maps/place/Chengdu+Memory+%E8%93%89%E5%9F%8E%E8%80%81%E7%81%AB%E9%94%85/data=!4m2!3m1!1s0x54906b9c4dd0c9a5:0xd3223c422e30c6c1,
Kamonegi,,https://www.google.com/maps/place/Kamonegi/data=!4m2!3m1!1s0x549014555575792f:0xaf7967773ae43cf4,
OKDONGSIK New York,Pork broth soup over rice (Korean),https://www.google.com/maps/place/OKDONGSIK+New+York/data=!4m2!3m1!1s0x89c2591c2849682d:0x25632b3aa278584f,
鮨たじま 中野坂上店,"Name: Tajima Nakanosakaueten

Seafood donburi bowls during lunch 

https://www.timeout.com/tokyo/restaurants/best-cheap-eats-in-tokyo",https://www.google.com/maps/place/%E9%AE%A8%E3%81%9F%E3%81%98%E3%81%BE+%E4%B8%AD%E9%87%8E%E5%9D%82%E4%B8%8A%E5%BA%97/data=!4m2!3m1!1s0x6018f2d1b568d415:0xe68b804ae31d2cc8,
ごんべえ,"Place is called: Gonbei (Cheap noodles)

https://www.timeout.com/tokyo/restaurants/best-cheap-eats-in-tokyo",https://www.google.com/maps/place/%E3%81%94%E3%82%93%E3%81%B9%E3%81%88/data=!4m2!3m1!1s0x60188d1c4e30cbb1:0x401ffb093a5bdfc1,
Sub City,,https://www.google.com/maps/place/Sub+City/data=!4m2!3m1!1s0x87faaaa6050062cb:0xf8de7445c339d7d2,
Takachiho,,https://www.google.com/maps/place/Takachiho/data=!4m2!3m1!1s0x35472b83b1794d9d:0x7fee8614037585a4,
Chicago Steak & Lemonade,,https://www.google.com/maps/place/Chicago+Steak+%26+Lemonade/data=!4m2!3m1!1s0x8869a1456a9f5a93:0xd34c04878049d4b,
The Manhattan Project,Happy hour select apps and drinks on thursday,https://www.google.com/maps/place/The+Manhattan+Project/data=!4m2!3m1!1s0x8869733ed23dc443:0xd7907f2436a14ea0,
August Moon Chinese Bistro,Happy hour,https://www.google.com/maps/place/August+Moon+Chinese+Bistro/data=!4m2!3m1!1s0x886973362a36ff2f:0x1f2762440124264d,
Ditto's Grill,Half price apps happy hour (and cheap drinks) M-S 1-6 pm,https://www.google.com/maps/place/Ditto's+Grill/data=!4m2!3m1!1s0x88690cd4a0d4aa8f:0xe39f85ddc907a3f1,
Bristol Bar & Grille,"Bristol has $5 Elijah Craig Old Fashions every Friday and $5 Larceny Black Cherry Manhattan Mondays and Single Barrel Sundays (1/2 off all single barrel bourbon) Other days are 1/2 price wine Tuesday, 1/2 price Wonton Wednesday, $2 draft Thursday and $5 Spritz Saturday.",https://www.google.com/maps/place/Bristol+Bar+%26+Grille/data=!4m2!3m1!1s0x88690ccd91c8b74b:0x670803617f15e29f,
The Alcove,,https://www.google.com/maps/place/The+Alcove/data=!4m2!3m1!1s0x886973a323be41e1:0xe82b7c9b80a9e0ae,
Cadillac’s Chicken and Fish,,https://www.google.com/maps/place/Cadillac%E2%80%99s+Chicken+and+Fish/data=!4m2!3m1!1s0x886909743a473f7f:0x25d349615b89cedb,
Vines Wine Bar & Spirit Shop,,https://www.google.com/maps/place/Vines+Wine+Bar+%26+Spirit+Shop/data=!4m2!3m1!1s0x886973231ebeb753:0x114b616e342e986e,
Canary Club,,https://www.google.com/maps/place/Canary+Club/data=!4m2!3m1!1s0x88690def51ba37f7:0xd895c430eade1b50,
Lucali,Supposedly best pizza,https://www.google.com/maps/place/Lucali/data=!4m2!3m1!1s0x89c25a593142dedf:0xf29a33ff1f0b6ab7,
Bonnie & Clyde's Pizza Parlor,,https://www.google.com/maps/place/Bonnie+%26+Clyde's+Pizza+Parlor/data=!4m2!3m1!1s0x8869114855c991fb:0xe3579da925e4c2a,
Go-Ang Pratu Nam Chicken Rice,,https://www.google.com/maps/place/Go-Ang+Pratu+Nam+Chicken+Rice/data=!4m2!3m1!1s0x30e29f8051840c43:0x9e9e013f2af20be3,
